kit_id,sensor,timestamp,value,unit,_raw
1001,gbTemp,2019-09-02 19:00:00+00:00,23.285,,"{'created_at': '2019-09-02 19:00:00', 'value': 23.285}"
1001,gbTemp,2019-09-02 20:00:00+00:00,23.0317,,"{'created_at': '2019-09-02 20:00:00', 'value': 23.0317}"
1001,gbTemp,2019-09-02 21:00:00+00:00,23.2317,,"{'created_at': '2019-09-02 21:00:00', 'value': 23.2317}"
1001,gbTemp,2019-09-02 22:00:00+00:00,23.9333,,"{'created_at': '2019-09-02 22:00:00', 'value': 23.9333}"
1001,gbTemp,2019-09-02 23:00:00+00:00,24.1017,,"{'created_at': '2019-09-02 23:00:00', 'value': 24.1017}"
1001,gbTemp,2019-09-03 00:00:00+00:00,24.1967,,"{'created_at': '2019-09-03 00:00:00', 'value': 24.1967}"
1001,gbTemp,2019-09-03 01:00:00+00:00,24.1967,,"{'created_at': '2019-09-03 01:00:00', 'value': 24.1967}"
1001,gbTemp,2019-09-03 02:00:00+00:00,24.2,,"{'created_at': '2019-09-03 02:00:00', 'value': 24.2}"
1001,gbTemp,2019-09-03 03:00:00+00:00,24.185,,"{'created_at': '2019-09-03 03:00:00', 'value': 24.185}"
1001,gbTemp,2019-09-03 04:00:00+00:00,24.195,,"{'created_at': '2019-09-03 04:00:00', 'value': 24.195}"
1001,gbTemp,2019-09-03 05:00:00+00:00,24.1867,,"{'created_at': '2019-09-03 05:00:00', 'value': 24.1867}"
1001,gbTemp,2019-09-03 06:00:00+00:00,24.1233,,"{'created_at': '2019-09-03 06:00:00', 'value': 24.1233}"
1001,gbTemp,2019-09-03 07:00:00+00:00,24.1133,,"{'created_at': '2019-09-03 07:00:00', 'value': 24.1133}"
1001,gbTemp,2019-09-03 08:00:00+00:00,24.175,,"{'created_at': '2019-09-03 08:00:00', 'value': 24.175}"
1001,gbTemp,2019-09-03 09:00:00+00:00,24.175,,"{'created_at': '2019-09-03 09:00:00', 'value': 24.175}"
1001,gbTemp,2019-09-03 10:00:00+00:00,24.1847,,"{'created_at': '2019-09-03 10:00:00', 'value': 24.1847}"
1001,gbTemp,2019-09-03 11:00:00+00:00,24.205,,"{'created_at': '2019-09-03 11:00:00', 'value': 24.205}"
1001,gbTemp,2019-09-03 12:00:00+00:00,23.8,,"{'created_at': '2019-09-03 12:00:00', 'value': 23.8}"
1001,gbTemp,2019-09-03 13:00:00+00:00,23.7917,,"{'created_at': '2019-09-03 13:00:00', 'value': 23.7917}"
1001,gbTemp,2019-09-03 14:00:00+00:00,23.1583,,"{'created_at': '2019-09-03 14:00:00', 'value': 23.1583}"
1001,gbTemp,2019-09-03 15:00:00+00:00,22.2217,,"{'created_at': '2019-09-03 15:00:00', 'value': 22.2217}"
1001,gbTemp,2019-09-03 16:00:00+00:00,22.19,,"{'created_at': '2019-09-03 16:00:00', 'value': 22.19}"
1001,gbTemp,2019-09-03 17:00:00+00:00,22.3517,,"{'created_at': '2019-09-03 17:00:00', 'value': 22.3517}"
1001,gbTemp,2019-09-03 18:00:00+00:00,23.4186,,"{'created_at': '2019-09-03 18:00:00', 'value': 23.4186}"
1001,gbTemp,2019-09-03 19:00:00+00:00,23.09,,"{'created_at': '2019-09-03 19:00:00', 'value': 23.09}"
1001,gbTemp,2019-09-03 20:00:00+00:00,23.0017,,"{'created_at': '2019-09-03 20:00:00', 'value': 23.0017}"
1001,gbTemp,2019-09-03 21:00:00+00:00,23.67,,"{'created_at': '2019-09-03 21:00:00', 'value': 23.67}"
